Area_Code,Area,Item_Code,Item,CPC_Code,Element_Code,Element,Unit,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
229,United Kingdom of Great Britain and Northern Ireland,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,11885000,11924000,11851000,11954000,11857000,12040000,11633000,11519000,11423000,11133000,10600000,10343000,10517000,10551000,10770200,10579000,10304000,10107000,10025000,10112000,9933000,9900000,9844000,9837000,9919000,10033000,10004000,9892000,9739000,9615000
228,USSR,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Switzerland,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,1828900,1782600,1745087,1755400,1748274,1747071,1672900,1640871,1608735,1588005,1611351,1593697,1570178,1544547,1554696,1566900,1571764,1604287,1597484,1591233,1577407,1564631,1557474,1562801,1554319,1555396,1544612,1543345,1524820,1515023
210,Sweden,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,1706778,1775302,1807366,1826489,1777000,1790200,1781000,1738500,1713000,1683700,1651500,1637465,1606674,1628464,1604933,1590409,1559725,1558381,1538281,1536700,1511846,1500293,1496526,1493119,1428400,1436050,1448590,1435450,1404670,1390960
203,Spain,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,5126000,5063000,4976000,5018000,5248000,5512000,5925000,5884000,5965000,6216883,6410780,6477895,6548379,6653087,6463430,6184092,6584980,6020200,6082400,6075100,5923200,5812600,5696910,6078700,6182908,6257057,6465747,6511720,6601300,6637390
199,Slovakia,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,,,1181660,992963,916153,928706,891991,803398,704792,665055,646148,625190,607835,593182,540146,527889,507820,501817,488381,471965,467125,463358,471091,467820,465543,457586,446112,438860,432250,442290
198,Slovenia,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,,483865,503770,477548,477400,495535,486198,445724,453097,471425,493670,477075,473242,450226,451136,452517,454033,479581,469983,472878,470151,462300,460063,460576,468253,484192,488598,476810,483070,485610
185,Russian Federation,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,,54699704,52248000,48931900,43320000,39719548,35123640,31536486,28496941,28076823,27537210,27404199,26861947,25109041,23171078,21639390,21577263,21560388,21050824,20681868,19976608,20117609,19936356,19570608,19270594,18627203,18351751,18299539,18157729,18132385
183,Romania,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,5380700,4355000,3683100,3956782,3480800,3496300,3434900,3235400,3143000,3051000,2870000,2800000,2878000,2897000,2808000,2862000,2934000,2819000,2684000,2512300,2001105,1988939,2009135,2022408,2068888,2092414,2049700,1996100,1942300,1930800
174,Portugal,1746,Cattle and Buffaloes,'F1746,5111,Stocks,Head,1367000,1398000,1336000,1348000,1363000,1386000,1389000,1386000,1409000,1421000,1414000,1404000,1395000,1389000,1443000,1440800,1452000,1491000,1495000,1447000,1503000,1497500,1471000,1549000,1606000,1635000,1670000,1632420,1674970,1691320
