,Date,Country,Price,Year,Month,Week
416,2010-06-21,BE,303.07,2010,6,25
417,2010-06-28,BE,301.97,2010,6,26
418,2010-07-05,BE,301.26,2010,7,27
419,2010-07-12,BE,298.78,2010,7,28
420,2010-07-19,BE,297.92,2010,7,29
421,2010-07-26,BE,297.0,2010,7,30
422,2010-08-02,BE,297.07,2010,8,31
423,2010-08-09,BE,296.97,2010,8,32
424,2010-08-16,BE,296.97,2010,8,33
425,2010-08-23,BE,297.42,2010,8,34
426,2010-08-30,BE,297.42,2010,8,35
427,2010-09-06,BE,296.85,2010,9,36
428,2010-09-13,BE,296.31,2010,9,37
429,2010-09-20,BE,296.31,2010,9,38
430,2010-09-27,BE,295.35,2010,9,39
431,2010-10-04,BE,296.27,2010,10,40
432,2010-10-11,BE,296.01,2010,10,41
433,2010-10-18,BE,297.1,2010,10,42
434,2010-10-25,BE,297.51,2010,10,43
435,2010-11-01,BE,297.51,2010,11,44
436,2010-11-08,BE,297.66,2010,11,45
437,2010-11-15,BE,298.07,2010,11,46
438,2010-11-22,BE,299.76,2010,11,47
439,2010-11-29,BE,302.9,2010,11,48
440,2010-12-06,BE,306.02,2010,12,49
441,2010-12-13,BE,307.06,2010,12,50
442,2010-12-20,BE,308.55,2010,12,51
443,2010-12-27,BE,308.82,2010,12,52
444,2011-01-03,BE,309.93,2011,1,1
445,2011-01-10,BE,309.33,2011,1,2
446,2011-01-17,BE,308.71,2011,1,3
447,2011-01-24,BE,309.36,2011,1,4
448,2011-01-31,BE,309.93,2011,1,5
449,2011-02-07,BE,311.98,2011,2,6
450,2011-02-14,BE,310.75,2011,2,7
451,2011-02-21,BE,309.57,2011,2,8
452,2011-02-28,BE,308.55,2011,2,9
453,2011-03-07,BE,309.55,2011,3,10
454,2011-03-14,BE,309.4,2011,3,11
455,2011-03-21,BE,309.37,2011,3,12
456,2011-03-28,BE,310.62,2011,3,13
457,2011-04-04,BE,310.13,2011,4,14
458,2011-04-11,BE,310.84,2011,4,15
459,2011-04-18,BE,310.32,2011,4,16
460,2011-04-25,BE,309.55,2011,4,17
461,2011-05-02,BE,310.5,2011,5,18
462,2011-05-09,BE,309.86,2011,5,19
463,2011-05-16,BE,309.82,2011,5,20
464,2011-05-23,BE,310.36,2011,5,21
465,2011-05-30,BE,310.79,2011,5,22
466,2011-06-06,BE,308.24,2011,6,23
467,2011-06-13,BE,307.63,2011,6,24
468,2011-06-20,BE,307.61,2011,6,25
469,2011-06-27,BE,307.5,2011,6,26
470,2011-07-04,BE,306.68,2011,7,27
471,2011-07-11,BE,306.75,2011,7,28
472,2011-07-18,BE,306.74,2011,7,29
473,2011-07-25,BE,307.68,2011,7,30
474,2011-08-01,BE,308.3,2011,8,31
475,2011-08-08,BE,307.66,2011,8,32
476,2011-08-15,BE,309.33,2011,8,33
477,2011-08-22,BE,313.29,2011,8,34
478,2011-08-29,BE,314.1,2011,8,35
479,2011-09-05,BE,314.16,2011,9,36
480,2011-09-12,BE,316.14,2011,9,37
481,2011-09-19,BE,315.71,2011,9,38
482,2011-09-26,BE,317.29,2011,9,39
483,2011-10-03,BE,316.91,2011,10,40
484,2011-10-10,BE,316.6,2011,10,41
485,2011-10-17,BE,317.77,2011,10,42
486,2011-10-24,BE,320.24,2011,10,43
487,2011-10-31,BE,321.24,2011,10,44
488,2011-11-07,BE,322.4,2011,11,45
489,2011-11-14,BE,323.67,2011,11,46
490,2011-11-21,BE,323.68,2011,11,47
491,2011-11-28,BE,324.13,2011,11,48
492,2011-12-05,BE,324.23,2011,12,49
493,2011-12-12,BE,325.35,2011,12,50
494,2011-12-19,BE,326.68,2011,12,51
495,2011-12-26,BE,327.62,2011,12,52
496,2012-01-02,BE,329.19,2012,1,1
497,2012-01-09,BE,332.18,2012,1,2
498,2012-01-16,BE,332.61,2012,1,3
499,2012-01-23,BE,332.65,2012,1,4
500,2012-01-30,BE,330.43,2012,1,5
